,,GOLD,OIL,WHEAT,IRON
2016,Jan,9.979507567,26.54516905,3.678284899,1.985637843
2016,Feb,10.27655045,25.06501886,3.30397249,1.813199097
2016,Mar,9.566543177,22.99925256,3.140543206,2.691423553
2016,Apr,9.695165229,22.58030471,2.571695295,2.796258533
2016,May,10.09452632,20.9162132,2.14395037,3.308569489
2016,Jun,9.955752413,20.71654134,2.089147727,4.060239297
2016,Jul,9.855511823,19.00582914,2.18464383,4.517941108
2016,Aug,10.37884071,19.04176982,2.400717985,4.573979781
2016,Sep,10.45900566,18.00125996,2.947629557,5.051165166
2016,Oct,10.26754674,16.99600696,3.443928285,4.960542456
2016,Nov,9.87187813,16.75626251,3.897693707,5.864573527
2016,Dec,9.934863782,16.06534197,3.76211143,5.874955151
2017,Jan,10.39959904,15.96111909,3.777916631,6.565441248
2017,Feb,10.32279114,15.39914979,3.59434712,6.541416097
2017,Mar,9.654919736,14.36101122,2.99584904,7.005260489
2017,Apr,10.24164248,14.11280772,2.487432014,7.303417115
2017,May,10.494569,14.14392645,2.10713012,7.218602312
2017,Jun,9.596973078,14.5892048,2.05454354,7.622649348
2017,Jul,9.827446809,13.3683894,2.231980028,7.256918602
2017,Aug,10.0715546,13.5014242,2.676184982,7.611116573
2017,Sep,10.2516585,13.04062554,2.996326273,7.953592703
2017,Oct,10.39685423,12.83878093,3.589754316,8.161713555
2017,Nov,9.980898802,13.26734171,3.830483855,7.96949441
2017,Dec,10.12447462,13.05886451,3.913046726,8.454254311
2018,Jan,10.08456802,12.71237147,3.761440654,8.550004474
2018,Feb,9.620983554,12.6677677,3.419225598,8.234986849
2018,Mar,9.71966279,12.48256875,3.093197176,8.634863594
2018,Apr,10.48199212,11.69614959,2.632404057,8.492918804
2018,May,10.07017225,11.41942344,2.341031835,8.949160571
2018,Jun,9.763943013,11.66830944,2.148449631,8.965232833
2018,Jul,9.974894486,12.25468938,2.104482033,8.842555928
2018,Aug,9.67772233,11.3540385,2.567409609,8.95862566
2018,Sep,10.21576245,11.48165188,2.959811597,8.735811795
2018,Oct,9.849812955,11.06440811,3.328543801,8.545896059
2018,Nov,10.17927546,11.94954961,3.888173072,8.989908644
2018,Dec,10.15164131,11.83784384,3.95341464,8.842642143
2019,Jan,9.706082139,11.93532887,3.92418709,8.810796286
2019,Feb,10.08614157,11.18478658,3.577404942,8.303249366
2019,Mar,9.923392735,11.69313507,3.022073866,8.28978215
2019,Apr,10.38137798,10.68890075,2.409763252,8.181311973
2019,May,9.566045671,11.27641078,2.21385098,7.91758113
2019,Jun,10.18686416,11.57933865,2.221315539,7.555567832
2019,Jul,10.32964998,10.88173579,2.196741537,7.784804316
2019,Aug,10.08887727,10.70377918,2.546125625,7.438325342
2019,Sep,10.22858218,11.38323315,3.128963267,7.630463143
2019,Oct,9.999357324,11.24402451,3.355459757,7.148888913
2019,Nov,9.854902639,10.84372898,3.692705916,6.807331695
2019,Dec,10.16229031,10.6785102,3.866762991,6.731733549
2020,Jan,10.49539792,10.89152597,3.688587301,6.067931597
2020,Feb,9.724563129,11.1450779,3.332306265,5.535684594
